start	end	text
0	10560	Hello Terps, the University of Maryland has earned our reputation as one of the premier
10560	12680	universities in the world.
12680	17840	We are approaching 70 members of the prestigious national academies among our faculty and have
17840	22920	nearly 50 members of the American Association for the Advancement of Science.
22920	29160	Our students earned more than 100 major national and international awards last year, including
29160	34720	54 students and scholars who accepted Fulbright grants.
34720	39680	This week, U.S. News and World Report released its annual college rankings and the University
39680	43680	of Maryland ranked 19th among all U.S. public universities.
43680	50440	Additionally, we now have almost 70 schools, colleges, programs and specialties on the
50440	54640	U.S. News Top 25 lists.
54640	59480	Our excellence extends well beyond our nationally recognized academic programs.
59480	63680	Number 1 School for LGBTQ Plus Students
63680	68480	A top school for entrepreneurship, for veterans and for research.
68480	74000	And we were also recognized as one of the best places to work by both Newsweek Magazine
74000	76040	and Forbes Magazine.
76040	82200	Collectively, these rankings fill me with tremendous pride and I hope they make you proud of your
82200	84240	flagship university.
84240	90400	These rankings are important, but more importantly are what they represent.
90400	95880	Rankings are not merely numbers, they are a reflection of our commitments and our priorities,
95880	101600	including our focus on building academic and research excellence, fostering a welcoming
101600	107720	multicultural community, creating an innovative and entrepreneurial culture and investing
107720	111000	in people and communities.
111000	116840	It is extremely gratifying to see these investments and priorities being reflected in national
116840	119000	and international rankings.
119000	124280	When we pursue excellence in all we do, the University of Maryland continues our upward
124280	125760	trajectory.
125760	128280	And that's something we can all be proud of.
128280	129360	Go Terps!
